title,url,price,review,city
[1 Year Warranty] [Free Gift] KUU Brand New Laptop YOBOOK M 13.5 Inch Cheap Student Online Class Laptop 6GB RAM 128GB SSD Ultra-light UHD Screen 3000x2000 Notebook Windows 10 Intel Celeron N4020 Dual Core Ultrabook with Webcam Bluetooth WiFi,//www.lazada.co.id/products/1-year-warranty-free-gift-kuu-brand-new-laptop-yobook-m-135-inch-cheap-student-online-class-laptop-6gb-ram-128gb-ssd-ultra-light-uhd-screen-3000x2000-notebook-windows-10-intel-celeron-n4020-dual-core-ultrabook-with-webcam-bluetooth-wifi-i4230024977.html,Rp3.555.800,(174),Luar Negeri
"Notebook Teclast TBolt F15Pro - Intel Core i3-1005G1 - 12GB LPDDR4 256GB SSD - Intel® UHD Graphics - 15.6""- WIN10 - Ultrabook Murah Gaming Laptop (Gratis Mouse)",//www.lazada.co.id/products/notebook-teclast-tbolt-f15pro-intel-core-i3-1005g1-12gb-lpddr4-256gb-ssd-intel-uhd-graphics-156-win10-ultrabook-murah-gaming-laptop-gratis-mouse-i5267516018.html,Rp8.342.000,(21),Luar Negeri
"Laptop  Asus L510MA-WB04 - 15.6""FHD Backlit - Intel N4020- RAM 4GB - 128gGB - Intel UHD Graphics - Black - Laptop Murah",//www.lazada.co.id/products/laptop-asus-l510ma-wb04-156fhd-backlit-intel-n4020-ram-4gb-128ggb-intel-uhd-graphics-black-laptop-murah-i6719294160.html,Rp4.652.916,(1),Kota Surabaya
Laptop Lenovo Thinkpad X240 RAM 8GB SSD 512GB SUPER MURAH bagus Bergaransi,//www.lazada.co.id/products/laptop-lenovo-thinkpad-x240-ram-8gb-ssd-512gb-super-murah-bagus-bergaransi-i6238560572.html,Rp2.390.000,,Kota Jakarta Utara
CHUWI Herobook Air 💥Windows11 Mini Laptop 11.6 inch 1366*768 4GB 128GB SSD Intel Celeron Processor N4020 Dual Core Dula Brand Wifi BT 4.2 Lightweight NoteBook Best gif For Student Online Learning,//www.lazada.co.id/products/chuwi-herobook-air-windows11-mini-laptop-116-inch-1366768-4gb-128gb-ssd-intel-celeron-processor-n4020-dual-core-dula-brand-wifi-bt-42-lightweight-notebook-best-gif-for-student-online-learning-i5740112825.html,Rp3.460.000,(36),Luar Negeri
Laptop Lenovo Ideapad 5 Pro - 14ACN6 - 3CID / 3DID 14 Inch 2K IPS (AMD Ryzen 7 - 5800U / 16GB / 512GB SSD / W10 Home / OHS / 2Y Premium Care + ADP),//www.lazada.co.id/products/laptop-lenovo-ideapad-5-pro-14acn6-3cid-3did-14-inch-2k-ips-amd-ryzen-7-5800u-16gb-512gb-ssd-w10-home-ohs-2y-premium-care-adp-i5186176856.html,Rp15.144.000,(2),Kota Jakarta Barat
Laptop Leptop Seken Second Bekas Asus X441S HDMI RAM 3GB HDD 500 GB Pentium Dual Core murah berkualitas Original like new,//www.lazada.co.id/products/laptop-leptop-seken-second-bekas-asus-x441s-hdmi-ram-3gb-hdd-500-gb-pentium-dual-core-murah-berkualitas-original-like-new-i6095134621.html,Rp2.180.673,,Kota Jakarta Timur
"HUAWEI MateBook D15 i5-1135G7 Laptop [Intel i5+8GB+512GB SSD+Win 11] | Sleek Metal Body | 15.6"" FHD Ultrabook | 42Wh",//www.lazada.co.id/products/huawei-matebook-d15-i5-1135g7-laptop-intel-i58gb512gb-ssdwin-11-sleek-metal-body-156-fhd-ultrabook-42wh-i6475092779.html,Rp9.599.000,(1),Kota Jakarta Selatan
"Notebook HP Pavilion Aero Laptop 13-be0003AU (FREE OHS 2019) - AMD Ryzen 7-5800U - 16GB - 512 SSD - PCIe® NVMe™ - 13.3"" FHD - W11 - Backlit KB - Gold",//www.lazada.co.id/products/notebook-hp-pavilion-aero-laptop-13-be0003au-free-ohs-2019-amd-ryzen-7-5800u-16gb-512-ssd-pcie-nvme-133-fhd-w11-backlit-kb-gold-i6215166484.html,Rp14.864.600,,Kota Depok
KUU Laptop 14.1 FHD 1920x1080 Layar IPS Intel Celeron J4105 8GB DDR4 RAM 128GB/256GB/512GB SSD Ultra HD Graphics Windows 11 Laptop Pelajar dengan WiFi Bluetooth,//www.lazada.co.id/products/kuu-laptop-141-fhd-1920x1080-layar-ips-intel-celeron-j4105-8gb-ddr4-ram-128gb256gb512gb-ssd-ultra-hd-graphics-windows-11-laptop-pelajar-dengan-wifi-bluetooth-i1328788535.html,Rp4.129.999,(155),Luar Negeri
"Laptop Lenovo Thinkbook 14-G2 ITL-9NID Mineral Grey (Intel Core i3-1115G4/4GB/256GBSSD/W10H/OHS/14""""FHDIPS/1Yr)",//www.lazada.co.id/products/laptop-lenovo-thinkbook-14-g2-itl-9nid-mineral-grey-intel-core-i3-1115g44gb256gbssdw10hohs14fhdips1yr-i6252392679.html,Rp9.965.000,,Kota Jakarta Barat
"HP 14s-dk1524AU Silver Laptop Kosumer (4X747PA) / 14"" HD 1366 x 768 / AMD Athlon Silver 3050U / 4GB / AMD Radeon™ Graphics / 512GBSSD / W10 / Termasuk Microsoft Office Home & Student 2019",//www.lazada.co.id/products/hp-14s-dk1524au-silver-laptop-kosumer-4x747pa-14-hd-1366-x-768-amd-athlon-silver-3050u-4gb-amd-radeon-graphics-512gbssd-w10-termasuk-microsoft-office-home-student-2019-i6085044756.html,Rp4.559.000,(43),Kota Jakarta Utara
"Notebook Lenovo IP 3-14ADA05 ideapad Slim 3- AMD Athlon-3050U - UMA - 4GB DDR4 - 256GB SSD - 14"" FHD - BACKLIT_Keyboard - Windows 10 Home + OHS 2019 - Platinum Grey- Laptop Murah - 2 Years",//www.lazada.co.id/products/notebook-lenovo-ip-3-14ada05-ideapad-slim-3-amd-athlon-3050u-uma-4gb-ddr4-256gb-ssd-14-fhd-backlit_keyboard-windows-10-home-ohs-2019-platinum-grey-laptop-murah-2-years-i5022724113.html,Rp4.309.000,,Kota Depok
Laptop Lenovo V14 G2 - ITL - HDID Iron Grey (Intel Core i3-1115G4 / 4GB / 256GBSSD / Windows 10 Home / OHS 2021 / 14HD TN AG / 1 Year Warranty),//www.lazada.co.id/products/laptop-lenovo-v14-g2-itl-hdid-iron-grey-intel-core-i3-1115g4-4gb-256gbssd-windows-10-home-ohs-2021-14hd-tn-ag-1-year-warranty-i1630382287.html,Rp6.261.000,(1),Kota Jakarta Barat
"【New Arrival 2022】DERE VBook V10 Laptop 360° Flip-and-fold Layar Sentuh Laptop Layar 11,6 inci harga murah laptop merek baru asli loptop sale harga terendah untuk pelajar Windows 11 (8+256|12+512,Silver)",//www.lazada.co.id/products/new-arrival-2022dere-vbook-v10-laptop-360-flip-and-fold-layar-sentuh-laptop-layar-116-inci-harga-murah-laptop-merek-baru-asli-loptop-sale-harga-terendah-untuk-pelajar-windows-11-825612512silver-i6665776569.html,Rp4.757.659,(1),Luar Negeri
"[LIMITED - FREE TAS LAPTOP] Notebook HP Laptop 14s-dq0508TU (FREE OHS 2019) - Intel Celeron® N4120 - 4GB - 256 SSD - Intel® UHD Graphics 600 - 14"" HD - W10 - Backlit KB - Silver - Laptop Murah",//www.lazada.co.id/products/limited-free-tas-laptop-notebook-hp-laptop-14s-dq0508tu-free-ohs-2019-intel-celeron-n4120-4gb-256-ssd-intel-uhd-graphics-600-14-hd-w10-backlit-kb-silver-laptop-murah-i6101402346.html,Rp4.099.000,(118),Kota Medan
LAPTOP LENOVO THINKPAD X230i RAM 16 GB SSD 512 GB PROMO MURAH BAGUS BERGARANSI,//www.lazada.co.id/products/laptop-lenovo-thinkpad-x230i-ram-16-gb-ssd-512-gb-promo-murah-bagus-bergaransi-i6223044462.html,Rp1.890.000,,Kota Jakarta Utara
